Source,Target
Adolf Hitler,Captain
Adolf Hitler,Carter (Let's Kill Hitler)
Adolf Hitler,Eleventh Doctor
Adolf Hitler,River Song
Adolf Hitler,Rory Williams
Adrasta,Fourth Doctor
Adrasta,K9 Mark II
Adrasta,Romana II
Adric,Ann Talbot
Adric,Cyber-Leader (Earthshock)
Adric,Dukkha
Adric,Fifth Doctor
Adric,Fourth Doctor
Adric,Hindle
Adric,K9 Mark II
Adric,Kamelion
Adric,King Vampire
Adric,Madge Cranleigh
Adric,Mara
Adric,Marshman
Adric,Morgus
Adric,Nyssa
Adric,Peri Brown
Adric,Richard Mace
Adric,Romana II
Adric,Rorvik
Adric,Sharaz Jek
Adric,Sixth Doctor
Adric,Stotz
Adric,Tegan Jovanka
Adric,Terileptil
Adric,Terileptil android
Adric,The Master
Adric,The Watcher (Logopolis)
Adric,Three Who Rule
Adric,Urbankan
Adric,Vislor Turlough
Agatha Christie,Arnold Golightly
Agatha Christie,Donna Noble
Agatha Christie,Tenth Doctor
Aggedor (The Curse of Peladon),Alpha Centauri (The Curse of Peladon)
Aggedor (The Curse of Peladon),Amazonia
Aggedor (The Curse of Peladon),Arcturus (The Curse of Peladon)
Aggedor (The Curse of Peladon),Azaxyr
Aggedor (The Curse of Peladon),Eckersley
Aggedor (The Curse of Peladon),Ettis
Aggedor (The Curse of Peladon),Grun
Aggedor (The Curse of Peladon),Hepesh
Aggedor (The Curse of Peladon),Ice Lord
Aggedor (The Curse of Peladon),Ice Warrior
Aggedor (The Curse of Peladon),Jo Grant
Aggedor (The Curse of Peladon),Peladon of Peladon
Aggedor (The Curse of Peladon),Sarah Jane Smith
Aggedor (The Curse of Peladon),Third Doctor
Akhaten,Clara Oswald (The Bells of Saint John)
Akhaten,Eleventh Doctor
Akhaten,Mummy (The Rings of Akhaten)
Akhaten,Vigil
Alastair Lethbridge-Stewart,Eric Stahlman
Alastair Lethbridge-Stewart,Greg Sutton
Alastair Lethbridge-Stewart,John Benton
Alastair Lethbridge-Stewart,Keith Gold
Alastair Lethbridge-Stewart,Liz Shaw
Alastair Lethbridge-Stewart,Petra Williams
Alastair Lethbridge-Stewart,The Brigadier
Alastair Lethbridge-Stewart,Third Doctor
Alaya,Amy Pond
Alaya,Eleventh Doctor
Alaya,Restac
Alaya,Rory Williams
Albert Einstein,Einstein's liquid
Albert Einstein,Eleventh Doctor
Albert Einstein,Ood (Death is the Only Answer)
Alistair Gordon Lethbridge-Stewart,Black Guardian
Alistair Gordon Lethbridge-Stewart,Borusa
Alistair Gordon Lethbridge-Stewart,Broton
Alistair Gordon Lethbridge-Stewart,Clara Oswald
Alistair Gordon Lethbridge-Stewart,Cyber-Director
Alistair Gordon Lethbridge-Stewart,Danny Pink
Alistair Gordon Lethbridge-Stewart,Edward Travers
Alistair Gordon Lethbridge-Stewart,Fifth Doctor
Alistair Gordon Lethbridge-Stewart,First Doctor
Alistair Gordon Lethbridge-Stewart,Fourth Doctor
Alistair Gordon Lethbridge-Stewart,Great Intelligence
Alistair Gordon Lethbridge-Stewart,Harry Sullivan
Alistair Gordon Lethbridge-Stewart,Isobel Watkins
Alistair Gordon Lethbridge-Stewart,Jack Tracy
Alistair Gordon Lethbridge-Stewart,Jamie McCrimmon
Alistair Gordon Lethbridge-Stewart,John Benton
Alistair Gordon Lethbridge-Stewart,K9 Mark III
Alistair Gordon Lethbridge-Stewart,Kate Stewart
Alistair Gordon Lethbridge-Stewart,Lord President
Alistair Gordon Lethbridge-Stewart,Mawdryn
Alistair Gordon Lethbridge-Stewart,Nyssa
Alistair Gordon Lethbridge-Stewart,Rassilon
Alistair Gordon Lethbridge-Stewart,Romana II
Alistair Gordon Lethbridge-Stewart,Sarah Jane Smith
Alistair Gordon Lethbridge-Stewart,Scientific Reform Society
Alistair Gordon Lethbridge-Stewart,Second Doctor
Alistair Gordon Lethbridge-Stewart,Susan Foreman
Alistair Gordon Lethbridge-Stewart,Tegan Jovanka
Alistair Gordon Lethbridge-Stewart,The Master
Alistair Gordon Lethbridge-Stewart,Third Doctor
Alistair Gordon Lethbridge-Stewart,Tobias Vaughn
Alistair Gordon Lethbridge-Stewart,Twelfth Doctor
Alistair Gordon Lethbridge-Stewart,Victoria Waterfield
Alistair Gordon Lethbridge-Stewart,Vislor Turlough
Alistair Gordon Lethbridge-Stewart,Zoe Heriot
Alistair Gordon Lethbridge-Stewart,Zygon Osgood
Allison Williams,Ace
Allison Williams,Black Dalek Leader
Allison Williams,Davros
Allison Williams,Ian Gilmore
Allison Williams,Rachel Jensen
Allison Williams,Seventh Doctor
Alonso Frame,Astrid Peth
Alonso Frame,Copper (Voyage of the Damned)
Alonso Frame,Donna Noble
Alonso Frame,Eleventh Doctor
Alonso Frame,Heavenly Host
Alonso Frame,Jack Harkness
Alonso Frame,Jackie Tyler
Alonso Frame,Luke Smith
Alonso Frame,Martha Jones
Alonso Frame,Max Capricorn
Alonso Frame,Mickey Smith
Alonso Frame,Ood Sigma
Alonso Frame,Rassilon
Alonso Frame,Rose Tyler
Alonso Frame,Sarah Jane Smith
Alonso Frame,Sylvia Noble
Alonso Frame,Tenth Doctor
Alonso Frame,The Master
Alonso Frame,Wilfred Mott
Alpha Centauri (The Curse of Peladon),Aggedor (The Curse of Peladon)
Alpha Centauri (The Curse of Peladon),Amazonia
Alpha Centauri (The Curse of Peladon),Arcturus (The Curse of Peladon)
Alpha Centauri (The Curse of Peladon),Azaxyr
Alpha Centauri (The Curse of Peladon),Bill Potts
Alpha Centauri (The Curse of Peladon),Eckersley
Alpha Centauri (The Curse of Peladon),Ettis
Alpha Centauri (The Curse of Peladon),Grun
Alpha Centauri (The Curse of Peladon),Hepesh
Alpha Centauri (The Curse of Peladon),Ice Lord
Alpha Centauri (The Curse of Peladon),Ice Warrior
Alpha Centauri (The Curse of Peladon),Jo Grant
Alpha Centauri (The Curse of Peladon),Neville Catchlove
Alpha Centauri (The Curse of Peladon),Peladon of Peladon
Alpha Centauri (The Curse of Peladon),Sarah Jane Smith
Alpha Centauri (The Curse of Peladon),The Master
Alpha Centauri (The Curse of Peladon),Third Doctor
Alpha Centauri (The Curse of Peladon),Twelfth Doctor
Amazonia,Aggedor (The Curse of Peladon)
Amazonia,Alpha Centauri (The Curse of Peladon)
Amazonia,Arcturus (The Curse of Peladon)
Amazonia,Grun
Amazonia,Hepesh
Amazonia,Ice Warrior
Amazonia,Jo Grant
Amazonia,Peladon of Peladon
Amazonia,Third Doctor
Amy Pond,79B Aickman Road
Amy Pond,Abigail Pettigrew
Amy Pond,Adolf Hitler
Amy Pond,Alaya
Amy Pond,Amy Pond (The Girl Who Waited)
Amy Pond,Arthur Candy
Amy Pond,Barnable
Amy Pond,Brian Williams (Dinosaurs on a Spaceship)
Amy Pond,Canton Everett Delaware III
Amy Pond,Captain
Amy Pond,Carter (Let's Kill Hitler)
Amy Pond,Clara Oswald
Amy Pond,Craig Owens
Amy Pond,Cyberman (Mondas)
Amy Pond,Cyril Arwell
Amy Pond,Dalek
Amy Pond,Daleks
Amy Pond,Dorium Maldovar
Amy Pond,Dream Lord
Amy Pond,Edwin Bracewell
Amy Pond,Eleventh Doctor
Amy Pond,Eleventh Doctor (Ganger)
Amy Pond,Elizabeth X
Amy Pond,Elliot Sardick
Amy Pond,Ganger
Amy Pond,Handbot
Amy Pond,Handles
Amy Pond,Harvest ranger
Amy Pond,Hawthorne (The Beast Below)
Amy Pond,Henry Avery
Amy Pond,House (The Doctor's Wife)
Amy Pond,Idris
Amy Pond,Jennifer Lucas (Ganger)
Amy Pond,John Riddell
Amy Pond,Julius Grayle
Amy Pond,Kahler-Jex
Amy Pond,Kahler-Tek
Amy Pond,Kate Stewart
Amy Pond,Kazran Sardick
Amy Pond,Kovarian
Amy Pond,Krafayis (Vincent and the Doctor)
Amy Pond,Lily Arwell
Amy Pond,Liz 10
Amy Pond,Madge Arwell
Amy Pond,Minotaur (The God Complex)
Amy Pond,Miranda Cleaves
Amy Pond,Nefertiti
Amy Pond,Paternoster Gang
Amy Pond,Peg doll (Night Terrors)
Amy Pond,Prisoner Zero
Amy Pond,Restac
Amy Pond,Richard Nixon
Amy Pond,River Song
Amy Pond,Rory Williams
Amy Pond,Rory Williams (Auton)
Amy Pond,Saturnyn
Amy Pond,Shakri
Amy Pond,Silent
Amy Pond,Solomon (Dinosaurs on a Spaceship)
Amy Pond,Sophie (The Lodger)
Amy Pond,Supreme Dalek (Victory of the Daleks)
Amy Pond,Tasha Lem
Amy Pond,Teselecta
Amy Pond,The Alliance (The Pandorica Opens)
Amy Pond,The Doctor's TARDIS
Amy Pond,Time Field
Amy Pond,Twelfth Doctor
Amy Pond,Vincent van Gogh
Amy Pond,Weeping Angel
Amy Pond,Weeping Angel (Good as Gold)
Amy Pond,Winston Churchill
Amy Pond (The Girl Who Waited),Amy Pond
Amy Pond (The Girl Who Waited),Eleventh Doctor
Amy Pond (The Girl Who Waited),Handbot
Amy Pond (The Girl Who Waited),Rory Williams
Ancelyn,Ace
Ancelyn,Morgaine
Ancelyn,Seventh Doctor
Ancelyn,The Brigadier
Ancelyn,The Destroyer
Ancelyn,Winifred Bambera
Ander Poul,Fourth Doctor
Ander Poul,Kaldor android
Ander Poul,Kiy Uvanov
Ander Poul,Leela
Ander Poul,Lish Toos
Ander Poul,Taren Capel
Angelo (Tooth and Claw),Rose Tyler
Angelo (Tooth and Claw),Tenth Doctor
Angelo (Tooth and Claw),The Host
Angelo (Tooth and Claw),Victoria
Angie Maitland,Artie Maitland
Angie Maitland,Clara Oswald
Angie Maitland,Cyberman
Angie Maitland,Eleventh Doctor
Angie Maitland,Great Intelligence
Angie Maitland,Mr Clever
Angie Maitland,Rosemary Kizlet
Animus,Barbara Wright
Animus,First Doctor
Animus,Ian Chesterton
Animus,Vicki Pallister
Ann Talbot,Adric
Ann Talbot,Fifth Doctor
Ann Talbot,Madge Cranleigh
Ann Talbot,Nyssa
Ann Talbot,Tegan Jovanka
Anti-matter creature,Fourth Doctor
Anti-matter creature,Salamar
Anti-matter creature,Sarah Jane Smith
Antimony (Death Comes to Time),Ace (Death Comes to Time)
Antimony (Death Comes to Time),Minister of Chance
Antimony (Death Comes to Time),Seventh Doctor (Death Comes to Time)
Antimony (Death Comes to Time),Tannis (Death Comes to Time)
Antimony (Death Comes to Time),The Brigadier (Death Comes to Time)
Archibald Hamish Lethbridge-Stewart,Bill Potts
Archibald Hamish Lethbridge-Stewart,Clara Oswald
Archibald Hamish Lethbridge-Stewart,First Doctor
Archibald Hamish Lethbridge-Stewart,Nardole
Archibald Hamish Lethbridge-Stewart,Rusty (Into the Dalek)
Archibald Hamish Lethbridge-Stewart,Thirteenth Doctor
Archibald Hamish Lethbridge-Stewart,Twelfth Doctor
Arcturus (The Curse of Peladon),Aggedor (The Curse of Peladon)
Arcturus (The Curse of Peladon),Alpha Centauri (The Curse of Peladon)
Arcturus (The Curse of Peladon),Amazonia
Arcturus (The Curse of Peladon),Grun
Arcturus (The Curse of Peladon),Hepesh
Arcturus (The Curse of Peladon),Ice Warrior
Arcturus (The Curse of Peladon),Jo Grant
Arcturus (The Curse of Peladon),Peladon of Peladon
Arcturus (The Curse of Peladon),Third Doctor
Arnold Golightly,Agatha Christie
Arnold Golightly,Donna Noble
Arnold Golightly,Tenth Doctor
Arthur Candy,Adolf Hitler
Arthur Candy,Amy Pond
Arthur Candy,Captain
Arthur Candy,Carter (Let's Kill Hitler)
Arthur Candy,Eleventh Doctor
Arthur Candy,River Song
Arthur Candy,Rory Williams
Arthur Linwood,Carol Bell
Arthur Linwood,Charles Kettering
Arthur Linwood,George Patrick Barnham
Arthur Linwood,Harry Mailer
Arthur Linwood,Jo Grant
Arthur Linwood,John Benton
Arthur Linwood,Keller Machine
Arthur Linwood,Mike Yates
Arthur Linwood,Roland Summers
Arthur Linwood,The Brigadier
Arthur Linwood,The Master
Arthur Linwood,Third Doctor
Artie Maitland,Angie Maitland
Artie Maitland,Clara Oswald
Artie Maitland,Cyberman
Artie Maitland,Eleventh Doctor
Artie Maitland,Great Intelligence
Artie Maitland,Mr Clever
Artie Maitland,Rosemary Kizlet
Ashad,George Gordon Byron
Ashad,Graham O'Brien
Ashad,John Polidori
Ashad,Mary Shelley
Ashad,Percy Shelley
Ashad,Ryan Sinclair
Ashad,The Master
Ashad,Thirteenth Doctor
Ashad,Yasmin Khan
Ashildr,Clara Oswald
Ashildr,Kenossium
Ashildr,Leandro
Ashildr,Mire
Ashildr,Ohila
Ashildr,Rassilon
Ashildr,Rigsy
Ashildr,Twelfth Doctor
Astra of Atrios,Black Guardian
Astra of Atrios,Drax
Astra of Atrios,Fourth Doctor
Astra of Atrios,K9 Mark II
Astra of Atrios,Marshal of Atrios
Astra of Atrios,Romana I
Astra of Atrios,The Shadow
Astrid Peth,Alonso Frame
Astrid Peth,Copper (Voyage of the Damned)
Astrid Peth,Heavenly Host
Astrid Peth,Max Capricorn
Astrid Peth,Tenth Doctor
Astrid Peth,Wilfred Mott
Auton,Channing
Auton,Liz Shaw
Auton,Nestene Consciousness
Auton,The Brigadier
Auton,Third Doctor
Axos,Carol Bell
Axos,Jo Grant
Axos,John Benton
Axos,Mike Yates
Axos,The Brigadier
Axos,The Master
Axos,Third Doctor
Azal,Dæmon
Azal,Jo Grant
Azal,John Benton
Azal,Mike Yates
Azal,Olive Hawthorne
Azal,The Brigadier
Azal,The Master
Azal,Third Doctor
Azal,Tom Osgood
Azaxyr,Aggedor (The Curse of Peladon)
Azaxyr,Alpha Centauri (The Curse of Peladon)
Azaxyr,Eckersley
Azaxyr,Ettis
Azaxyr,Ice Lord
Azaxyr,Ice Warrior
Azaxyr,Sarah Jane Smith
Azaxyr,Third Doctor
Azlok,Cassie Rice
Azlok,Jimmy Stalkingwolf
Azlok,Lord
Azlok,Tenth Doctor
Azmael,Mestor
Azmael,Peri Brown
Azmael,Sixth Doctor
BOSS,Clifford Jones
BOSS,Giant maggot
BOSS,Jo Grant
BOSS,John Benton
BOSS,Mark Elgin
BOSS,Mike Yates
BOSS,Stevens
BOSS,The Brigadier
BOSS,Third Doctor
Bad Wolf (entity),Dalek Emperor in the Last Great Time War
Bad Wolf (entity),Jack Harkness
Bad Wolf (entity),Jackie Tyler
Bad Wolf (entity),Lynda Moss
Bad Wolf (entity),Mickey Smith
Bad Wolf (entity),Ninth Doctor
Bad Wolf (entity),Rose Tyler
Bad Wolf (entity),Tenth Doctor
Baltazar,Martha Jones
Baltazar,Tenth Doctor
Bannermen,Gavrok
Bannermen,Keillor
Bannermen,Melanie Bush
Bannermen,Seventh Doctor
Barbara Wright,Animus
Barbara Wright,Bennett (The Rescue)
Barbara Wright,Black Dalek Leader
Barbara Wright,City Administrator (The Sensorites)
Barbara Wright,Commander (The Sensorites)
Barbara Wright,Dalek
Barbara Wright,El Akir
Barbara Wright,First Doctor
Barbara Wright,Forester (Planet of Giants)
Barbara Wright,Ian Chesterton
Barbara Wright,Kal
Barbara Wright,Léon Colbert
Barbara Wright,Marco Polo
Barbara Wright,Maximilien Robespierre
Barbara Wright,Mechonoid
Barbara Wright,Morok
Barbara Wright,Napoléon Bonaparte
Barbara Wright,Nero
Barbara Wright,Steven Taylor
Barbara Wright,Supreme Controller (The Dalek Invasion of Earth)
Barbara Wright,Susan Foreman
Barbara Wright,Tegana
Barbara Wright,Tlotoxl
Barbara Wright,Vicki Pallister
Barbara Wright,Yartek
Barnable,Amy Pond
Barnable,Clara Oswald
Barnable,Eleventh Doctor
Barnable,Handles
Barnable,Supreme Dalek (Victory of the Daleks)
Barnable,Tasha Lem
Barnable,Twelfth Doctor
Ben Jackson,Bragen
Ben Jackson,Chameleon (humanoid)
Ben Jackson,Cherub (The Smugglers)
Ben Jackson,Cutler (The Tenth Planet)
Ben Jackson,CyberMondan
Ben Jackson,CyberTelosian
Ben Jackson,Dalek
Ben Jackson,Dodo Chaplet
Ben Jackson,Edwards (The Smugglers)
Ben Jackson,First Doctor
Ben Jackson,Grey (The Highlanders)
Ben Jackson,Jamie McCrimmon
Ben Jackson,Janley
Ben Jackson,Macra
Ben Jackson,Polly Wright
Ben Jackson,Samuel Pike
Ben Jackson,Second Doctor
Ben Jackson,The Director (The Faceless Ones)
Ben Jackson,WOTAN
Ben Jackson,Zaroff
Bennett (The Rescue),Barbara Wright
Bennett (The Rescue),First Doctor
Bennett (The Rescue),Ian Chesterton
Bennett (The Rescue),Vicki Pallister
Bill Potts,Alpha Centauri (The Curse of Peladon)
Bill Potts,Archibald Hamish Lethbridge-Stewart
Bill Potts,Clara Oswald
Bill Potts,CyberMondan
Bill Potts,Cybermen
Bill Potts,Eater of Light
Bill Potts,Emojibot
Bill Potts,First Doctor
Bill Potts,Ganymede Systems
Bill Potts,Heather (The Pilot)
Bill Potts,Ice Warrior
Bill Potts,John (Knock Knock)
Bill Potts,Monk (species)
Bill Potts,Nardole
Bill Potts,Neville Catchlove
Bill Potts,Ninth Legion
Bill Potts,Rusty (Into the Dalek)
Bill Potts,Sentient oil
Bill Potts,Sutcliffe (Thin Ice)
Bill Potts,The Master
Bill Potts,Thirteenth Doctor
Bill Potts,Twelfth Doctor
Bill Potts,Vardy
Bill Potts (Shadow World),Monk (species)
Bill Potts (Shadow World),Nardole
Bill Potts (Shadow World),Nardole (Shadow World)
Bill Potts (Shadow World),The Master
Bill Potts (Shadow World),Twelfth Doctor
Bill Potts (Shadow World),Twelfth Doctor (Shadow World)
Billy Clanton,Dodo Chaplet
Billy Clanton,First Doctor
Billy Clanton,Ike Clanton
Billy Clanton,Johnny Ringo
Billy Clanton,Pa Clanton
Billy Clanton,Phineas Clanton
Billy Clanton,Seth Harper
Billy Clanton,Steven Taylor
Billy Clanton,Template:Disputed
Black Dalek Leader,Ace
Black Dalek Leader,Allison Williams
Black Dalek Leader,Barbara Wright
Black Dalek Leader,Bret Vyon
Black Dalek Leader,Dalek
Black Dalek Leader,Davros
Black Dalek Leader,Fifth Doctor
Black Dalek Leader,First Doctor
Black Dalek Leader,Gustave Lytton
Black Dalek Leader,Ian Chesterton
Black Dalek Leader,Ian Gilmore
Black Dalek Leader,Jeff Garvey
Black Dalek Leader,Katarina
Black Dalek Leader,Mavic Chen
Black Dalek Leader,Mechonoid
Black Dalek Leader,Rachel Jensen
Black Dalek Leader,Sara Kingdom
Black Dalek Leader,Seventh Doctor
Black Dalek Leader,Steven Taylor
Black Dalek Leader,Tegan Jovanka
Black Dalek Leader,The Monk
Black Dalek Leader,Vicki Pallister
Black Dalek Leader,Vislor Turlough
Black Guardian,Alistair Gordon Lethbridge-Stewart
Black Guardian,Astra of Atrios
Black Guardian,Drax
Black Guardian,Eirak
Black Guardian,Fifth Doctor
Black Guardian,Fourth Doctor
Black Guardian,K9 Mark II
Black Guardian,Marshal of Atrios
Black Guardian,Mawdryn
Black Guardian,Nyssa
Black Guardian,Romana I
Black Guardian,Tegan Jovanka
Black Guardian,The Shadow
Black Guardian,Vislor Turlough
Black Guardian,White Guardian
Black Guardian,Wrack
Blon Fel-Fotch Passameer-Day Slitheen,Jack Harkness
Blon Fel-Fotch Passameer-Day Slitheen,Mickey Smith
Blon Fel-Fotch Passameer-Day Slitheen,Ninth Doctor
Blon Fel-Fotch Passameer-Day Slitheen,Rose Tyler
Boneless,Clara Oswald
Boneless,Danny Pink
Boneless,Rigsy
Boneless,The Master
Boneless,Twelfth Doctor
Bonnie (The Zygon Invasion),Clara Oswald
Bonnie (The Zygon Invasion),Jac (The Magician's Apprentice)
Bonnie (The Zygon Invasion),Kate Stewart
Bonnie (The Zygon Invasion),Petronella Osgood
Bonnie (The Zygon Invasion),Twelfth Doctor
Borad,H. G. Wells
Borad,Peri Brown
Borad,Sixth Doctor
Borad,Tekker
Bors (The Doctor's Meditation),Twelfth Doctor
Borusa,Alistair Gordon Lethbridge-Stewart
Borusa,Fifth Doctor
Borusa,First Doctor
Borusa,Fourth Doctor
Borusa,K9 Mark III
Borusa,Lord President
Borusa,Nyssa
Borusa,Omega
Borusa,Rassilon
Borusa,Romana II
Borusa,Sarah Jane Smith
Borusa,Second Doctor
Borusa,Susan Foreman
Borusa,Tegan Jovanka
Borusa,The Master
Borusa,Third Doctor
Borusa,Vislor Turlough
Bragen,Ben Jackson
Bragen,Dalek
Bragen,Janley
Bragen,Polly Wright
Bragen,Second Doctor
Bret Vyon,Black Dalek Leader
Bret Vyon,First Doctor
Bret Vyon,Katarina
Bret Vyon,Mavic Chen
Bret Vyon,Sara Kingdom
Bret Vyon,Steven Taylor
Bret Vyon,The Monk
Brian Cox,Eleventh Doctor
Brian Williams (Dinosaurs on a Spaceship),Amy Pond
Brian Williams (Dinosaurs on a Spaceship),Eleventh Doctor
Brian Williams (Dinosaurs on a Spaceship),John Riddell
Brian Williams (Dinosaurs on a Spaceship),Kate Stewart
Brian Williams (Dinosaurs on a Spaceship),Nefertiti
Brian Williams (Dinosaurs on a Spaceship),Rory Williams
Brian Williams (Dinosaurs on a Spaceship),Shakri
Brian Williams (Dinosaurs on a Spaceship),Solomon (Dinosaurs on a Spaceship)
Broton,Alistair Gordon Lethbridge-Stewart
Broton,Fourth Doctor
Broton,Harry Sullivan
Broton,John Benton
Broton,Sarah Jane Smith
Bruno Taltalian,Carrington (The Ambassadors of Death)
Bruno Taltalian,Collinson
Bruno Taltalian,John Benton
Bruno Taltalian,Liz Shaw
Bruno Taltalian,Reegan
Bruno Taltalian,The Brigadier
Bruno Taltalian,Third Doctor
Butler (Invasion of the Dinosaurs),Charles Grover
Butler (Invasion of the Dinosaurs),Finch (Invasion of the Dinosaurs)
Butler (Invasion of the Dinosaurs),John Benton
Butler (Invasion of the Dinosaurs),Mike Yates
Butler (Invasion of the Dinosaurs),Sarah Jane Smith
Butler (Invasion of the Dinosaurs),The Brigadier
Butler (Invasion of the Dinosaurs),Third Doctor
Butler (Invasion of the Dinosaurs),Whitaker (Invasion of the Dinosaurs)
Canton Everett Delaware III,Amy Pond
Canton Everett Delaware III,Eleventh Doctor
Canton Everett Delaware III,Richard Nixon
Canton Everett Delaware III,River Song
Canton Everett Delaware III,Rory Williams
Canton Everett Delaware III,Silent
Captain,Adolf Hitler
Captain,Amy Pond
Captain,Arthur Candy
Captain,Carter (Let's Kill Hitler)
Captain,Dorium Maldovar
Captain,Eleventh Doctor
Captain,River Song
Captain,Rory Williams
Captain,Silent
Captain,Teselecta
Captain,Winston Churchill
Carol Bell,Arthur Linwood
Carol Bell,Axos
Carol Bell,Charles Kettering
Carol Bell,George Patrick Barnham
Carol Bell,Harry Mailer
Carol Bell,Jo Grant
Carol Bell,John Benton
Carol Bell,Keller Machine
Carol Bell,Mike Yates
Carol Bell,Roland Summers
Carol Bell,The Brigadier
Carol Bell,The Master
Carol Bell,Third Doctor
Carrington (The Ambassadors of Death),Bruno Taltalian
Carrington (The Ambassadors of Death),Collinson
Carrington (The Ambassadors of Death),John Benton
Carrington (The Ambassadors of Death),Liz Shaw
Carrington (The Ambassadors of Death),Reegan
Carrington (The Ambassadors of Death),The Brigadier
Carrington (The Ambassadors of Death),Third Doctor
Carrionite,Elizabeth I
Carrionite,Martha Jones
Carrionite,Tenth Doctor
Carrionite,William Shakespeare
Carter (Let's Kill Hitler),Adolf Hitler
Carter (Let's Kill Hitler),Amy Pond
Carter (Let's Kill Hitler),Arthur Candy
Carter (Let's Kill Hitler),Captain
Carter (Let's Kill Hitler),Dorium Maldovar
Carter (Let's Kill Hitler),Eleventh Doctor
Carter (Let's Kill Hitler),River Song
Carter (Let's Kill Hitler),Rory Williams
Carter (Let's Kill Hitler),Silent
Carter (Let's Kill Hitler),Teselecta
Carter (Let's Kill Hitler),Winston Churchill
Casp,Cassandra O'Brien.Δ17
Casp,Face of Boe
Casp,Jackie Tyler
Casp,Matron
Casp,Mickey Smith
Casp,Rose Tyler
Casp,Tenth Doctor
Cassandra (The Myth Makers),First Doctor
Cassandra (The Myth Makers),Katarina
Cassandra (The Myth Makers),Odysseus
Cassandra (The Myth Makers),Steven Taylor
Cassandra (The Myth Makers),Vicki Pallister
Cassandra O'Brien.Δ17,Casp
Cassandra O'Brien.Δ17,Face of Boe
Cassandra O'Brien.Δ17,Jackie Tyler
Cassandra O'Brien.Δ17,Matron
Cassandra O'Brien.Δ17,Mickey Smith
Cassandra O'Brien.Δ17,Ninth Doctor
Cassandra O'Brien.Δ17,Rose Tyler
Cassandra O'Brien.Δ17,Tenth Doctor
Cassie Rice,Azlok
Cassie Rice,Jimmy Stalkingwolf
Cassie Rice,Lord
Cassie Rice,Tenth Doctor
Catherine de Medici,Dodo Chaplet
Catherine de Medici,First Doctor
Catherine de Medici,Gaspard de Saux-Tavannes
Catherine de Medici,Steven Taylor
Celestial Toymaker,Dodo Chaplet
Celestial Toymaker,First Doctor
Celestial Toymaker,Steven Taylor
Cessair of Diplos,Fourth Doctor
Cessair of Diplos,K9 Mark II
Cessair of Diplos,Ogri
Cessair of Diplos,Romana I
Cessair of Diplos,White Guardian
